Language	Text	Spker	Code_Spker	Sex	Duration	NbSyllables	SpeechRate	ShannonEntropy	ConditionalEntropy	InfoRate_ShannonEntropy	InfoRate_ConditionalEntropy
SPA	P2	F3(Mo)	SPA_F3(Mo)	F	16.4	120	7.32	8.32	5.43	60.88 	39.76 
SPA	P3	F3(Mo)	SPA_F3(Mo)	F	15.87	119	7.5	8.32	5.43	62.39 	40.74 
SPA	P8	F3(Mo)	SPA_F3(Mo)	F	12.08	93	7.7	8.32	5.43	64.05 	41.83 
SPA	P9	F3(Mo)	SPA_F3(Mo)	F	17.75	119	6.7	8.32	5.43	55.78 	36.43 
SPA	Q0	F3(Mo)	SPA_F3(Mo)	F	16.14	126	7.81	8.32	5.43	64.95 	42.42 
SPA	Q1	F3(Mo)	SPA_F3(Mo)	F	11.85	81	6.84	8.32	5.43	56.87 	37.14 
SPA	O1	M1(Bo)	SPA_M1(Bo)	M	12.4	94	7.58	8.32	5.43	63.07 	41.19 
SPA	O2	M1(Bo)	SPA_M1(Bo)	M	15.75	135	8.57	8.32	5.43	71.31 	46.57 
SPA	O3	M1(Bo)	SPA_M1(Bo)	M	14.33	111	7.75	8.32	5.43	64.45 	42.09 
SPA	O4	M1(Bo)	SPA_M1(Bo)	M	18.96	152	8.02	8.32	5.43	66.70 	43.56 
SPA	O6	M1(Bo)	SPA_M1(Bo)	M	11.8	103	8.73	8.32	5.43	72.62 	47.43 
SPA	O8	M1(Bo)	SPA_M1(Bo)	M	16.49	136	8.25	8.32	5.43	68.62 	44.81 
SPA	O9	M1(Bo)	SPA_M1(Bo)	M	9.49	79	8.32	8.32	5.43	69.26 	45.23 
SPA	P0	M1(Bo)	SPA_M1(Bo)	M	19.95	153	7.67	8.32	5.43	63.81 	41.67 
SPA	P1	M1(Bo)	SPA_M1(Bo)	M	17.64	137	7.77	8.32	5.43	64.62 	42.20 
SPA	P2	M1(Bo)	SPA_M1(Bo)	M	14.23	120	8.43	8.32	5.43	70.16 	45.82 
SPA	P3	M1(Bo)	SPA_M1(Bo)	M	15.06	119	7.9	8.32	5.43	65.74 	42.94 
SPA	P8	M1(Bo)	SPA_M1(Bo)	M	12.18	93	7.64	8.32	5.43	63.53 	41.49 
SPA	P9	M1(Bo)	SPA_M1(Bo)	M	15.59	119	7.63	8.32	5.43	63.51 	41.48 
SPA	Q0	M1(Bo)	SPA_M1(Bo)	M	15.23	126	8.27	8.32	5.43	68.83 	44.95 
SPA	Q1	M1(Bo)	SPA_M1(Bo)	M	9.73	81	8.32	8.32	5.43	69.26 	45.23 
SPA	O1	M4(In)	SPA_M4(In)	M	11.85	94	7.93	8.32	5.43	66.00 	43.10 
SPA	O2	M4(In)	SPA_M4(In)	M	17.24	135	7.83	8.32	5.43	65.15 	42.55 
SPA	O3	M4(In)	SPA_M4(In)	M	15.49	111	7.17	8.32	5.43	59.62 	38.94 
SPA	O4	M4(In)	SPA_M4(In)	M	19.8	152	7.68	8.32	5.43	63.87 	41.71 
SPA	O6	M4(In)	SPA_M4(In)	M	13.08	103	7.87	8.32	5.43	65.52 	42.79 
SPA	O8	M4(In)	SPA_M4(In)	M	17.62	136	7.72	8.32	5.43	64.22 	41.94 
SPA	O9	M4(In)	SPA_M4(In)	M	10.48	79	7.54	8.32	5.43	62.72 	40.96 
SPA	P0	M4(In)	SPA_M4(In)	M	22.13	153	6.91	8.32	5.43	57.52 	37.57 
SPA	P1	M4(In)	SPA_M4(In)	M	18.8	137	7.29	8.32	5.43	60.63 	39.60 
SPA	P2	M4(In)	SPA_M4(In)	M	15.69	120	7.65	8.32	5.43	63.63 	41.56 
SPA	P3	M4(In)	SPA_M4(In)	M	16.42	119	7.25	8.32	5.43	60.30 	39.38 
SPA	P8	M4(In)	SPA_M4(In)	M	13.04	93	7.13	8.32	5.43	59.34 	38.75 
SPA	P9	M4(In)	SPA_M4(In)	M	16.59	119	7.17	8.32	5.43	59.68 	38.98 
SPA	Q0	M4(In)	SPA_M4(In)	M	16.17	126	7.79	8.32	5.43	64.83 	42.34 
SPA	Q1	M4(In)	SPA_M4(In)	M	11.01	81	7.36	8.32	5.43	61.21 	39.98 
SPA	O1	M4(Ma)	SPA_M4(Ma)	M	12.72	94	7.39	8.32	5.43	61.48 	40.15 
SPA	O2	M4(Ma)	SPA_M4(Ma)	M	16.58	135	8.14	8.32	5.43	67.74 	44.24 
SPA	O3	M4(Ma)	SPA_M4(Ma)	M	14.08	111	7.88	8.32	5.43	65.59 	42.84 
SPA	O4	M4(Ma)	SPA_M4(Ma)	M	18.58	152	8.18	8.32	5.43	68.06 	44.45 
SPA	O6	M4(Ma)	SPA_M4(Ma)	M	11.88	103	8.67	8.32	5.43	72.13 	47.11 
SPA	O8	M4(Ma)	SPA_M4(Ma)	M	15.58	136	8.73	8.32	5.43	72.63 	47.43 
SPA	O9	M4(Ma)	SPA_M4(Ma)	M	10.1	79	7.82	8.32	5.43	65.08 	42.50 
SPA	P0	M4(Ma)	SPA_M4(Ma)	M	20.82	153	7.35	8.32	5.43	61.14 	39.93 
SPA	P1	M4(Ma)	SPA_M4(Ma)	M	17.66	137	7.76	8.32	5.43	64.54 	42.15 
SPA	P2	M4(Ma)	SPA_M4(Ma)	M	15.01	120	7.99	8.32	5.43	66.52 	43.44 
SPA	P3	M4(Ma)	SPA_M4(Ma)	M	15.3	119	7.78	8.32	5.43	64.71 	42.26 
SPA	P8	M4(Ma)	SPA_M4(Ma)	M	12.68	93	7.33	8.32	5.43	61.02 	39.85 
SPA	P9	M4(Ma)	SPA_M4(Ma)	M	15.2	119	7.83	8.32	5.43	65.14 	42.54 
SPA	Q0	M4(Ma)	SPA_M4(Ma)	M	15.22	126	8.28	8.32	5.43	68.88 	44.98 
