Speaker	Sex	Language	Text	Duration	NS	SR	ShE	ID	ShIR	IR	Age
YUE_M5(Ed)	M	YUE	P8	13.46	77	5.72	7.97	6.53	45.59	37.38	22
YUE_M5(Ed)	M	YUE	P9	15.82	90	5.69	7.97	6.53	45.34	37.18	22
YUE_M5(Ed)	M	YUE	Q0	15.03	88	5.85	7.97	6.53	46.66	38.26	22
YUE_M5(Ed)	M	YUE	Q1	12.77	73	5.72	7.97	6.53	45.56	37.36	22
YUE_M6(Hu)	M	YUE	O1	10.57	59	5.58	7.97	6.53	44.49	36.48	23
YUE_M6(Hu)	M	YUE	O2	14.47	80	5.53	7.97	6.53	44.06	36.13	23
YUE_M6(Hu)	M	YUE	O3	16.5	96	5.82	7.97	6.53	46.37	38.02	23
YUE_M6(Hu)	M	YUE	O4	14.34	69	4.81	7.97	6.53	38.35	31.44	23
YUE_M6(Hu)	M	YUE	O6	16.59	80	4.82	7.97	6.53	38.43	31.51	23
YUE_M6(Hu)	M	YUE	O8	16.66	92	5.52	7.97	6.53	44.01	36.09	23
YUE_M6(Hu)	M	YUE	O9	10.33	56	5.42	7.97	6.53	43.21	35.42	23
YUE_M6(Hu)	M	YUE	P0	20.56	102	4.96	7.97	6.53	39.54	32.42	23
YUE_M6(Hu)	M	YUE	P1	16.13	88	5.46	7.97	6.53	43.48	35.65	23
YUE_M6(Hu)	M	YUE	P2	13.6	78	5.74	7.97	6.53	45.71	37.48	23
YUE_M6(Hu)	M	YUE	P3	16.82	83	4.93	7.97	6.53	39.33	32.25	23
YUE_M6(Hu)	M	YUE	P8	15.25	77	5.05	7.97	6.53	40.24	32.99	23
YUE_M6(Hu)	M	YUE	P9	18.2	90	4.95	7.97	6.53	39.41	32.31	23
YUE_M6(Hu)	M	YUE	Q0	15.86	88	5.55	7.97	6.53	44.22	36.26	23
YUE_M6(Hu)	M	YUE	Q1	12.04	73	6.06	7.97	6.53	48.32	39.62	23
